                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.2224,                 2.8214,                0.88529,                 1.1412,                0.58981,                0.41735,                0.45127,                 0.2741,                0.53225,                0.34322,                  0.354,                0.17823,                 1.4159,                 3.1305,                  1.033,                 1.1669,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.2262,                 2.8256,                0.88326,                 1.1399,                0.57945,                0.43387,                0.46097,                0.27797,                0.53354,                0.35579,                 0.3614,                0.18237,                 1.4121,                 3.1105,                 1.0345,                 1.1656,               0.009109,               0.009109,               0.009109
                     47,                 1.2161,                  2.801,                0.87656,                  1.134,                0.60725,                0.40764,                0.45056,                0.27348,                0.51909,                0.34798,                0.35682,                0.17799,                 1.4043,                 3.1166,                 1.0366,                 1.1619,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.2168,                 2.8087,                0.87397,                 1.1336,                0.58434,                0.42676,                0.45897,                0.27746,                0.54932,                0.35078,                0.36714,                0.18064,                 1.4053,                 3.1224,                 1.0318,                 1.1627,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.2218,                  2.816,                0.87959,                 1.1376,                0.61389,                0.42186,                0.46027,                0.27866,                0.53638,                0.36113,                0.36679,                0.18242,                 1.4073,                 3.1317,                 1.0356,                 1.1683,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.2094,                 2.7907,                0.86902,                 1.1316,                0.62194,                0.41947,                0.45721,                0.27428,                0.54934,                0.35572,                0.36335,                0.18099,                 1.4116,                 3.1203,                 1.0361,                 1.1697,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.2088,                 2.7877,                 0.8661,                  1.131,                0.59508,                0.42412,                0.45196,                0.27432,                0.51934,                0.35289,                0.35701,                0.17825,                 1.4171,                 3.1331,                 1.0387,                 1.1683,                0.00901,                0.00901,                0.00901
                     52,                 1.2112,                 2.7891,                0.86782,                 1.1334,                0.61322,                0.42547,                0.46295,                0.28182,                0.55161,                0.35124,                0.36265,                0.18424,                 1.4045,                  3.121,                 1.0254,                 1.1652,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.2041,                 2.7784,                0.86353,                 1.1306,                0.62555,                 0.4218,                0.46026,                0.27747,                0.55016,                0.35116,                0.35976,                0.17926,                 1.4167,                 3.1227,                 1.0274,                 1.1691,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.2086,                 2.7811,                0.86479,                 1.1312,                  0.591,                0.43629,                0.46247,                0.27756,                0.51172,                0.36327,                0.36454,                0.18226,                   1.41,                 3.1167,                 1.0266,                   1.17,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.2015,                 2.7676,                0.85776,                 1.1275,                0.63083,                0.42475,                0.46694,                0.27988,                0.56081,                0.35388,                0.36607,                 0.1818,                  1.407,                 3.1244,                 1.0328,                 1.1709,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.2028,                 2.7697,                 0.8603,                 1.1283,                0.60077,                0.43157,                0.45842,                0.27305,                0.51305,                0.36789,                0.36146,                0.18008,                 1.4154,                 3.1464,                 1.0348,                 1.1695,               0.008911,               0.008911,               0.008911
                     57,                  1.204,                 2.7683,                 0.8566,                 1.1275,                0.62926,                0.42884,                0.46412,                0.28044,                0.55176,                 0.3578,                0.36072,                0.17943,                 1.4025,                  3.097,                 1.0185,                 1.1671,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.2012,                 2.7631,                0.85484,                  1.127,                0.60563,                0.42348,                0.45696,                0.27517,                0.55818,                0.35073,                 0.3581,                0.17973,                 1.4073,                 3.1138,                  1.026,                 1.1672,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.1968,                 2.7536,                0.85051,                 1.1235,                0.62858,                 0.4167,                0.45861,                0.27867,                 0.5623,                 0.3488,                0.36372,                0.18146,                 1.4086,                 3.1352,                 1.0217,                  1.165,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.1901,                 2.7496,                0.84783,                 1.1237,                0.59238,                0.42568,                0.46108,                0.27588,                 0.5193,                0.34877,                0.35976,                0.17834,                 1.4119,                 3.1258,                 1.0251,                 1.1737,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.1934,                 2.7458,                0.84666,                 1.1238,                0.64208,                0.42581,                0.46682,                0.28053,                0.55963,                0.36043,                0.36472,                0.18057,                 1.4084,                 3.1264,                 1.0226,                 1.1692,               0.008812,               0.008812,               0.008812
                     62,                 1.1948,                 2.7511,                 0.8451,                 1.1231,                0.59988,                0.43984,                0.46188,                0.27911,                0.55015,                0.35803,                0.36539,                0.18133,                 1.4077,                 3.1444,                 1.0195,                 1.1674,              0.0087922,              0.0087922,              0.0087922
                     63,                 1.1891,                 2.7286,                0.83959,                  1.117,                 0.5882,                 0.4323,                0.45857,                0.27654,                0.51401,                0.36691,                0.36444,                0.17851,                 1.4135,                 3.1463,                 1.0308,                 1.1729,              0.0087724,              0.0087724,              0.0087724
                     64,                 1.1854,                 2.7206,                0.83518,                 1.1154,                0.61415,                 0.4268,                 0.4635,                0.28316,                0.55847,                   0.35,                0.36636,                0.18382,                 1.4038,                 3.1379,                  1.019,                  1.165,              0.0087526,              0.0087526,              0.0087526
                     65,                 1.1824,                 2.7298,                0.83368,                 1.1159,                0.62287,                0.42721,                0.46237,                0.27755,                0.55419,                0.36049,                0.36634,                0.18045,                 1.4056,                 3.1218,                 1.0254,                 1.1701,              0.0087328,              0.0087328,              0.0087328
                     66,                 1.1871,                  2.731,                0.83543,                 1.1197,                0.62233,                0.42421,                0.46027,                 0.2784,                0.54613,                0.35431,                0.36164,                0.17584,                 1.4058,                 3.1346,                 1.0288,                  1.169,               0.008713,               0.008713,               0.008713
                     67,                 1.1845,                 2.7229,                0.82894,                 1.1144,                0.62762,                0.42254,                0.46326,                0.28211,                0.54505,                0.35256,                0.36051,                 0.1834,                 1.4064,                 3.1193,                 1.0158,                 1.1663,              0.0086932,              0.0086932,              0.0086932
                     68,                 1.1759,                 2.7052,                0.82891,                 1.1152,                  0.621,                0.41948,                0.45563,                0.27928,                0.54705,                0.35404,                0.36079,                0.17997,                 1.4046,                 3.1306,                 1.0169,                 1.1669,              0.0086734,              0.0086734,              0.0086734
                     69,                 1.1809,                 2.7083,                0.82595,                 1.1131,                0.61331,                0.42827,                0.46055,                0.28007,                0.52975,                0.35615,                0.36186,                 0.1783,                 1.4017,                 3.1334,                 1.0282,                 1.1651,              0.0086536,              0.0086536,              0.0086536
                     70,                 1.1834,                 2.7111,                0.82879,                 1.1152,                 0.5961,                0.43667,                0.45942,                0.27931,                0.50256,                0.36813,                0.36241,                0.17853,                 1.4086,                 3.1433,                 1.0228,                  1.169,              0.0086338,              0.0086338,              0.0086338
                     71,                 1.1715,                 2.7027,                0.82245,                 1.1122,                0.60706,                0.43229,                0.46182,                 0.2775,                0.52687,                0.36116,                0.36284,                0.17686,                  1.411,                 3.1413,                 1.0231,                  1.171,               0.008614,               0.008614,               0.008614
                     72,                 1.1776,                   2.71,                0.82636,                 1.1121,                0.60606,                0.43531,                0.46145,                0.27919,                0.52482,                0.36251,                0.36068,                0.18174,                 1.4116,                 3.1465,                  1.024,                 1.1672,              0.0085942,              0.0085942,              0.0085942
